89单间 | 交院后街 1室1厅1卫 男女不限 主卧 \( 1室 \) 20㎡ 温江城区 交院后街 来自个人房源：杨城----今天 390元/月
90整租 | 高新区世纪城天府二街豪装套五天鹅湖花园龙湖世纪峰景拎 5室3厅2卫 400㎡ 大源村 世纪城天鹅湖距离1号线世纪城地铁站611米 来自经纪人： 东巴房地产 - 蜀都中心店 朱成星 朱成星 1年 东巴房地 58同城认证商家----今天 25000元/月
91整租 | 地铁口，精装套二，拎包入住，南北通透，交通便利，性价 2室2厅1卫 76㎡ 驷马桥 融锦城距离1号线升仙湖地铁站1320米 来自经纪人： 成都吾家投资管理有限公司 - 融锦城店 周海 周海 1年 成都吾家 58同城认证商家----今天 2200元/月
92整租 | 内金沙地铁口 精装套二 家具家电齐全 带三个阳台 拎 2室2厅1卫 90㎡ 金沙 印象金沙距离2号线羊犀立交地铁站1720米 来自经纪人： 竹军 竹军 1年 58同城认证商家----今天 1800元/月
93整租 | 液晶电视 还有空调 快速公交 地铁 随时看 有钥匙巴 2室2厅1卫 75㎡ 草堂 光华公屋距离2号线白果林地铁站1399米 来自经纪人： 王兰 王兰 2年 58同城认证商家----今天 1600元/月
94整租 | 隐庐巷上生活馆 1室1厅1卫 1室1厅1卫 54㎡ 大石西路 隐庐巷上生活馆 来自个人房源：侯先生----今天 1900元/月
95整租 | 世茂城二期、豪装套二、舒适温馨、租的不是房子是个家！ 3室2厅1卫 89㎡ 大面镇 世茂城二期距离2号线大面铺地铁站2845米 来自经纪人： 成都市百世家房产经纪有限公司 - 世茂城店 刘萌 刘萌 1年 成都市百 58同城认证商家----今天 4000元/月
96整租 | 南延线 天合·汇锦城 1室1厅1室1厅1卫 70m²南延线 天合·汇锦城 距离1号线世纪城地铁站1439米来自品牌公寓 菜鸟公寓----今天2300元/月
97合租 | 驷马桥 汇融名城 4室次卧4室1厅2卫 15m²驷马桥 汇融名城 距离1号线升仙湖地铁站1976米来自品牌公寓 同创公寓----今天770元/月
98合租 | 华阳 益州国际广场 3室次卧3室1厅1卫 10m²华阳 益州国际广场 距离1号线华府大道地铁站1303米来自品牌公寓 优客逸家----今天655元/月
99整租 | 三圣乡 锦尚春天a区 3室1厅3室1厅1卫 85m²三圣乡 锦尚春天a区 距离2号线惠王陵地铁站932米来自品牌公寓 蜂巢小筑----今天2000元/月
100整租 | 圣灯路 东城映象 1室1厅1室1厅1卫 58m²圣灯路 东城映象 来自品牌公寓 同创公寓----今天1650元/月
101合租 | 天府长城 蒂梵尼town 4室次卧4室1厅1卫 14m²天府长城 蒂梵尼town 距离1号线广都地铁站387米来自品牌公寓 蜂巢小筑----今天680元/月
102整租 | 圣灯路 东城映象 1室1厅1室1厅1卫 57m²圣灯路 东城映象 来自品牌公寓 同创公寓----今天1650元/月
103合租 | 华阳 双华麓港 4室次卧4室1厅2卫 16m²华阳 双华麓港 距离1号线广都地铁站2367米来自品牌公寓 蜂巢小筑----今天600元/月
104合租 | 驷马桥 融锦城 5室次卧5室1厅2卫 17m²驷马桥 融锦城 距离1号线升仙湖地铁站1320米来自品牌公寓 同创公寓----今天700元/月
105整租 | 大源村 东方希望天祥广场 2室2厅2室2厅1卫 80m²大源村 东方希望天祥广场 距离1号线世纪城地铁站278米来自品牌公寓 菜鸟公寓----今天3500元/月
106合租 | 华阳 金茂光明城市 4室次卧4室1厅2卫 15m²华阳 金茂光明城市 距离1号线华府大道地铁站2194米来自品牌公寓 爱房公寓----今天800元/月
107合租 | 南延线 中德英伦联邦 4室次卧4室1厅2卫 15m²南延线 中德英伦联邦 距离1号线华府大道地铁站1011米来自品牌公寓 爱房公寓----今天800元/月
108合租 | 贝森 双玺 5室次卧5室1卫 10m²贝森 双玺 来自品牌公寓 和嘉公寓----今天650元/月
109合租 | 金融城 保利心语3期 4室主卧4室1厅2卫 25m²金融城 保利心语3期 距离1号线天府三街地铁站2500米来自品牌公寓 蜂巢小筑----今天1150元/月
110整租 | 高新区 世纪城地铁口 龙湖世纪峰景豪装套四带超大观景 4室3厅3卫 380㎡ 世纪城 龙湖·世纪峰景距离1号线世纪城地铁站1029米 来自经纪人： 东巴房地产 - 蜀都中心店 熊锋 熊锋 1年 东巴房地 58同城认证商家----今天 18000元/月
111整租 | 世纪城地铁口蜀都中心 精装温馨现代风格 拎包入住 随 2室1厅1卫 88㎡ 南延线 蜀都中心 天祥广场 世龙广场 来自经纪人： 东巴房地产 - 蜀都中心店 张高欣 张高欣 1年 东巴房地 58同城认证商家----今天 3000元/月
112整租 | 房东自住精装全配套二 2卧室带空调 只需1800 2室2厅1卫 72㎡ 抚琴小区 抚琴西路社区距离2号线白果林地铁站637米 来自经纪人： 皓欣房屋 - 皓欣抚琴店 王兵 王兵 5年 皓欣房屋 58同城认证商家----今天 1800元/月
113整租 | 元益花园精装套二中庭安静、带双空调、随时看房入住全齐 2室2厅1卫 84㎡ 外光华 元益花园距离2号线羊犀立交地铁站4551米 来自经纪人： 秦礼洋 秦礼洋 1年 58同城认证商家----今天 1800元/月
114单间 | 成华建设北路一段六九宿舍 2室1厅 主卧 朝南 简单 主卧 \( 2室 \) 20㎡ 建设路 六九宿舍 来自个人房源：李女士----今天 800元/月
115整租 | 地铁 口 彩叠园高层电梯精装房 领包入住 2室2厅2卫 88㎡ 北部新城 彩叠园1b林泉南街 来自经纪人： 兰建才 兰建才 1年 58同城认证商家----今天 1700元/月
116整租 | 犀浦 金粮路 派克精装套三 西江月 家具家电齐全 价 3室2厅2卫 130㎡ 犀浦 西江月距离2号线百草路地铁站790米 来自经纪人： 雅居乐 - 21雅居乐保利加盟店 罗辉 罗辉 1年 雅居乐 58同城认证商家----今天 2800元/月
117整租 | 航空港大成郡中装套3出租家具家电齐全中庭房不临街不吵 3室2厅1卫 98㎡ 航空港 大成郡 来自经纪人： 玛雅千家 - 棠湖春天店 李朝庆 李朝庆 1年 玛雅千家 58同城认证商家----今天 2300元/月
118整租 | 致瑞雅苑 万达周边 交通便利 生活成本低 2室2厅1卫 86㎡ 万达 致瑞雅苑a区距离2号线东大路地铁站2524米 来自经纪人： 好房优家 - 牛沙路店 何芳 何芳 4年 好房优家 58同城认证商家----今天 2200元/月
119整租 | 卓锦城五期套二 拎包入住 随时看房 2室2厅1卫 78㎡ 三圣乡 卓锦城五期 来自经纪人： 周燕 周燕 1年 58同城认证商家----今天 2200元/月
120整租 | 炜岸城！大户型套三！全新家具家电！超大客厅！房东诚心 3室2厅2卫 93㎡ 大面镇 炜岸城距离2号线大面铺地铁站1383米 来自经纪人： 安居地产 - 炜岸城店 李帆 李帆 1年 安居地产 58同城认证商家----今天 1700元/月
121整租 | 地铁口精品套二 实景拍摄杜绝假房源 风格优雅一眼爱上 2室2厅1卫 70㎡ 万年场 二十四城距离2号线牛市口地铁站1273米 来自经纪人： 盛美置业 - 华润地铁店 小史 小史 1年 盛美置业 58同城认证商家----今天 3300元/月
122整租 | 龙桥海鸿制衣厂宿舍 3室2厅2卫 3室2厅2卫 115㎡ 龙桥 龙桥海鸿制衣厂宿舍 来自个人房源：罗正仪----今天 750元/月
123整租 | 建设路红枫岭三期 租套三双卫的看这里了 精装对中庭 3室2厅2卫 90㎡ 建设路 中房·红枫岭三期距离2号线牛市口地铁站4104米 来自经纪人： 双盈房产 - 红枫岭店 阳萍 阳萍 2年 双盈房产 58同城认证商家----今天 2500元/月
124整租 | 紧邻地铁口，半搭结构优质房源，美领馆来福士广场 2室2厅1卫 144㎡ 跳伞塔 保利中心距离1号线倪家桥地铁站298米 来自经纪人： 胡雷 胡雷 1年 58同城认证商家----今天 14000元/月
125整租 | 花样年花郡 1室1厅1卫 1室1厅1卫 44㎡ 万年场 花样年花郡 来自个人房源：钟女士----今天 2000元/月
