西区名宅,306.0,12,22,6053,6,2007,4,犀浦
宝源驷马城,409.2,30,18,6919,18,2008,10,李家沱
世家东部时空,486.0,146,70,10481,27,2013,6,八里小区
我的大学,1628.6,154,294,5913,27,,42,新都城区
蜀汉路253号,430.0,16,54,7504,7,2001,4,一品天下
万科城市花园,5790.0,384,265,20219,6,2007,23,川师
利阳阿里山,80.0,0,2,4822,11,2008,2,郫县城区
新巢小区一期,204.0,151,227,9895,10,2005,4,广福桥
锐力领峰,618.0,20,134,12790,33,2013,6,中德
昭忠祠街67号,121.5,69,27,10307,6,2000,2,红星路
天府长城图南多,4441.6,686,458,10972,,2009,48,天府长城
御城,1435.0,424,350,5456,26,2009,28,新都城区
金牛新都会,628.0,36,26,9829,,2013,12,花照壁
双楠美邻,165.0,75,9,9558,12,2003,2,外双楠
新鸿公寓,172.0,2,2,9977,7,2001,2,新华公园
荣光巷,288.0,28,8,10296,5,2000,4,石人小区
南虹雅园,45.5,0,13,11667,6,,1,川音
青铜时代,538.0,62,68,4518,18,2009,10,郫县万达
祥瑞苑,1214.0,106,58,8864,17,2008,11,三圣乡
龙瑞苑,110.0,7,4,11202,18,2001,1,合江亭
京都大厦,92.0,0,6,11020,20,2008,1,盐市口
博海城一期,320.0,0,12,6897,27,,4,新都城区
融城后街,588.0,152,490,11580,17,2009,10,神仙树
紫丁巷1号,290.0,88,94,9520,7,1995,4,神仙树
红花村1号,228.0,44,218,8237,7,2001,4,金牛万达
驿都水岸丽园,614.0,24,76,7154,18,2008,8,龙泉驿城区
蓉上坊一期,2156.0,219,124,16305,30,2009,17,合江亭
大学路12号,175.0,8,7,20476,7,1996,1,川音
蓉北商贸大道199号,260.0,10,4,6961,7,2000,4,五块石
上东花园二期,224.0,125,208,7514,6,2003,4,琉璃场
东林小区,198.0,40,216,7013,6,2003,6,动物园
红树林,566.0,6,68,5198,11,2014,10,新都城区
新加坡花园,1855.0,509,331,13483,11,2002,12,桐梓林
一环路南四段32号,248.0,5,92,9804,7,2000,2,华西
雕墅,418.0,9,44,16737,33,2007,4,盐市口
千禧河畔,502.0,20,26,6946,33,2016,7,花都大道
紫华苑,732.0,82,180,10118,7,2000,6,紫荆
万基金蓝湾,1849.6,514,716,5138,26,2009,54,红光
路桥家园,86.0,0,16,5891,13,,2,东升镇
交大智能四期,309.0,30,62,9147,7,2001,8,西南交大
城南驿站,566.0,125,194,10622,6,2004,5,火车南站
智业公寓,398.0,0,12,7762,7,2002,4,沙湾
塔子山壹号,828.0,41,73,18331,34,2015,4,沙河堡
紫东芯座,2274.0,182,86,11833,33,2012,24,万象城
蓝色空间蓝梦,332.0,74,20,9388,6,2003,4,花照壁
红光苑(正兴路),84.0,0,0,5241,6,2005,2,红光
鑫阳花园,334.0,42,196,9646,6,2007,4,远大
东安北左街23号,62.0,8,11,19834,5,1995,1,红星路
凌远花园,438.0,62,24,9245,7,1999,4,沙湾
宇众曼城,1402.6,18,186,5776,32,2000,46,橡树湾
康桥雅舍,976.0,328,610,10476,7,2001,8,神仙树
幸福彼岸,2705.6,220,350,8331,22,2007,28,五块石
武侯名园,445.0,30,100,10290,17,2001,3,华西
蓝岸,2194.0,152,276,11775,,2007,14,中海国际
泰丰佳寓,246.0,5,23,15811,7,2000,1,红星路
王府春天花园,304.0,2,26,9399,7,2005,2,中和
府河竹苑,160.0,10,15,15534,7,2000,1,川大
华林南苑,76.0,44,64,6901,22,2011,2,理工大
东圣苑,144.0,2,28,9231,11,2009,2,理工大
蓝色港湾,540.0,146,196,10650,20,2002,10,猛追湾
远洋朗郡,1650.0,282,386,9564,17,2012,20,高家庄
交大智能三期,1208.0,456,168,10644,8,2001,8,九里堤
鹭岛国际三期,3480.0,389,230,14704,,2010,16,外双楠
洗面桥横街29号,48.0,2,5,9260,5,,1,华西
翰林南城,1664.2,112,338,7326,14,2007,20,航空港
兴元丽园B区,220.0,27,140,7420,11,2004,4,武侯立交
金沙国际花园,3188.0,292,338,13129,5,2005,16,蜀汉路
中信未来城北区,2612.0,362,300,8829,33,2013,22,郫县城区
锦赛雅苑,264.0,30,58,7914,6,2003,2,一品天下
天元山庄一期,94.0,10,26,4156,6,2007,2,新都城区
兴顺苑,132.0,2,30,6543,5,2005,2,龙泉驿城区
倪家桥路8号,70.0,6,4,10000,7,1999,1,玉林
成都早晨,116.0,2,60,6824,14,2009,2,航空港
荷花名都,170.0,0,0,10123,18,,2,金牛万达
天鹅湖北苑,7514.0,2954,3024,11953,31,2007,72,新会展
华润二十四城三期,9818.0,594,466,20559,30,2012,34,万象城
新鸿南路159号,130.0,14,10,9583,7,1995,2,新华公园
舜和家园A区,258.0,240,164,7771,28,2009,6,万年场
鑫城府,144.0,0,2,11440,32,2014,2,抚琴小区
紫藤花园,408.0,383,141,10506,8,2002,3,双楠
肖家河西一巷2号,36.0,3,25,10589,7,,1,衣冠庙
双楠偶寓,70.0,11,12,9963,16,,1,五大花园
百花邨,404.0,19,48,8807,7,2000,4,双楠
月光诚品,546.0,70,143,12643,12,2011,5,红牌楼
置信逸都花园天乐苑,1264.0,95,185,14033,7,2002,8,外双楠
新华苑,1964.0,158,277,9495,6,2000,14,航空路
虹波苑,728.0,24,16,9767,7,2000,10,SM广场
金山花园,174.0,0,0,5527,6,2005,2,龙泉驿城区
鱼凫路28号,79.0,0,22,3594,6,,2,温江老城
伊甸阳光,361.5,24,63,11785,,2005,3,航空路
首创万卷山,3031.0,576,904,7779,34,2013,38,大面
文豪世苑,282.0,62,310,5387,17,2008,6,龙泉驿城区
城楠映象,390.0,21,64,10165,6,2006,3,五大花园
海桐二期,77.0,7,29,7854,18,2010,2,蓝谷地
肖家河沿巷,50.0,23,81,8219,7,2000,1,衣冠庙
龙锦晓筑,52.0,4,15,8966,15,2004,1,簇桥
